Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Dasun Shanaka,Capped,,Unsold,0.75,
Shoriful Islam,Capped,,Unsold,0.75,
Blessing Muzarabani,Capped,,Unsold,0.75,
Tanzim Hasan Sakib,Capped,,Unsold,0.75,
Roston Chase,Capped,,Unsold,0.75,
Junior Dala,Capped,,Unsold,0.75,
Mahedi Hasan,Capped,,Unsold,0.75,
Nangeyalia Kharote,Capped,,Unsold,0.75,
Hasan Mahmud,Capped,,Unsold,0.75,
Nahid Rana,Capped,,Unsold,0.75,
Alick Athanaze,Capped,,Unsold,0.75,
Hilton Cartwright,Capped,,Unsold,0.75,
Daryn Dupavillon,Capped,,Unsold,0.75,
Patrick Kruger,Capped,,Unsold,0.75,
Lahiru Kumara,Capped,,Unsold,0.75,
Michael Neser,Capped,,Unsold,0.75,
Richard Ngarava,Capped,,Unsold,0.75,
Odean Smith,Capped,,Unsold,0.75,
Andrew Tye,Capped,,Unsold,0.75,
Piyush Chawla,Uncapped,,Unsold,0.5,
Tom Kohler-Cadmore,Uncapped,,Unsold,0.5,
Leus Du Plooy,Uncapped,,Unsold,0.5,
Michael Pepper,Uncapped,,Unsold,0.5,
Ben Howell,Uncapped,,Unsold,0.5,
Kartik Tyagi,Uncapped,,Unsold,0.4,
Shoun Roger,Uncapped,,Unsold,0.4,
Siddharth Kaul,Uncapped,,Unsold,0.4,
Ajay Ahlawat,Uncapped,,Unsold,0.4,
Jalaj Saxena,Uncapped,,Unsold,0.4,
Yash Dhull,Uncapped,,Unsold,0.3,
Anmolpreet Singh,Uncapped,,Unsold,0.3,
Utkarsh Singh,Uncapped,,Unsold,0.3,
Upendra Singh Yadav,Uncapped,,Unsold,0.3,
Ricky Bhui,Uncapped,,Unsold,0.3,
Aarya Desai,Uncapped,,Unsold,0.3,
Madhav Kaushik,Uncapped,,Unsold,0.3,
Pukhraj Mann,Uncapped,,Unsold,0.3,
Mayank Dagar,Uncapped,,Unsold,0.3,
Suyash Prabhudessai,Uncapped,,Unsold,0.3,
Sanvir Singh,Uncapped,,Unsold,0.3,
Avanish Aravelly,Uncapped,,Unsold,0.3,
Saurav Chauhan,Uncapped,,Unsold,0.3,
Harvik Desai,Uncapped,,Unsold,0.3,
B.R Sharath,Uncapped,,Unsold,0.3,
Sakib Hussain,Uncapped,,Unsold,0.3,
Vidwath Kaverappa,Uncapped,,Unsold,0.3,
Rajan Kumar,Uncapped,,Unsold,0.3,
Sushant Mishra,Uncapped,,Unsold,0.3,
Prince Choudhary,Uncapped,,Unsold,0.3,
Himanshu Sharma,Uncapped,,Unsold,0.3,
Prashant Solanki,Uncapped,,Unsold,0.3,
Jhathavedh Subramanyan,Uncapped,,Unsold,0.3,
Priyam Garg,Uncapped,,Unsold,0.3,
Smaran Ravichandran,Uncapped,,Unsold,0.3,
Shashwat Rawat,Uncapped,,Unsold,0.3,
Avneesh Sudha,Uncapped,,Unsold,0.3,
Apoorv Wankhade,Uncapped,,Unsold,0.3,
Rishi Dhawan,Uncapped,,Unsold,0.3,
Tanush Kotian,Uncapped,,Unsold,0.3,
Shams Mulani,Uncapped,,Unsold,0.3,
Shivam Singh,Uncapped,,Unsold,0.3,
Lalit Yadav,Uncapped,,Unsold,0.3,
Mohammed Azharuddeen,Uncapped,,Unsold,0.3,
L.R Chethan,Uncapped,,Unsold,0.3,
Aryaman Singh Dhaliwal,Uncapped,,Unsold,0.3,
Urvil Patel,Uncapped,,Unsold,0.3,
Sanskar Rawat,Uncapped,,Unsold,0.3,
Bipin Saurabh,Uncapped,,Unsold,0.3,
Tanay Thyagarajann,Uncapped,,Unsold,0.3,
Money Grewal,Uncapped,,Unsold,0.3,
Ishan Porel,Uncapped,,Unsold,0.3,
Abhilash Shetty,Uncapped,,Unsold,0.3,
Basil Thampi,Uncapped,,Unsold,0.3,
Murugan Ashwin,Uncapped,,Unsold,0.3,
Shreyas Chavan,Uncapped,,Unsold,0.3,
Chintal Gandhi,Uncapped,,Unsold,0.3,
Raghav Goyal,Uncapped,,Unsold,0.3,
Jagadeesha Suchith,Uncapped,,Unsold,0.3,
Roshan Waghsare,Uncapped,,Unsold,0.3,
Bailapudi Yeswanth,Uncapped,,Unsold,0.3,
Sachin Dhas,Uncapped,,Unsold,0.3,
